,artist,followers,genre,popularity,main_genre
281,The Doors,6340705,"['acid rock', 'classic rock', 'psychedelic rock', 'rock']",76,acid rock
282,Stromae,1972068,"['belgian pop', 'g-house']",75,belgian pop
283,Meek Mill,5679491,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",82,hip hop
284,Lil Baby,9024219,"['atl hip hop', 'atl trap', 'rap', 'trap']",92,atl hip hop
285,Jeremih,5450576,"['chicago rap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",79,chicago rap
286,Gucci Mane,4094642,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",81,atl hip hop
287,XXXTENTACION,33101522,"['emo rap', 'miami hip hop']",91,emo rap
288,Lil Pump,7853996,"['emo rap', 'miami hip hop', 'rap', 'social media pop', 'trap']",72,emo rap
314,Dave,1667244,['uk hip hop'],79,uk hip hop
326,John Williams,1066399,['soundtrack'],81,soundtrack
327,Rory Gallagher,320383,"['album rock', 'blues', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'hard rock', 'modern blues', 'rock']",55,album rock
330,Nick Cave & The Bad Seeds,1112324,"['art rock', 'permanent wave']",67,art rock
342,ATB,316032,"['german dance', 'german techno', 'german trance', 'trance']",71,german dance
343,Elton John,8358586,"['glam rock', 'mellow gold', 'piano rock']",90,glam rock
344,Moby,1575104,"['downtempo', 'electronica']",71,downtempo
347,Gorillaz,7985190,['alternative hip hop'],82,alternative hip hop
358,Villagers,206068,"['chamber pop', 'indie folk', 'indie rock', 'stomp and holler']",61,chamber pop
359,Portico Quartet,148537,"['british jazz', 'compositional ambient', 'contemporary jazz', 'electronica', 'indie jazz', 'jazz quartet', 'neo-classical', 'new tribe', 'nu jazz']",53,british jazz
372,Metronomy,880371,"['alternative dance', 'electronica', 'electropop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'socal pop punk']",65,alternative dance
384,Hans Zimmer,2781534,"['german soundtrack', 'soundtrack']",80,german soundtrack
399,BROCKHAMPTON,1900468,"['boy band', 'hip hop', 'pop', 'rap']",74,boy band
